# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-F" "GTF" "-O" "-p" "-T" "6" "-a" "genomic.gtf" "-s" "2" "-o" "dimA_2_light_T1.featureCounts.txt" "dimA_2_light_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	dimA_2_light_T1.bam
gene-PA14_01470	CP000438.1	138130	138816	+	687	288
gene-PA14_01480	CP000438.1	138917	139651	+	735	295
gene-PA14_01490	CP000438.1	139831	140241	+	411	48512
gene-PA14_01500	CP000438.1	140273	141181	-	909	653
gene-PA14_01510	CP000438.1	141481	141762	-	282	219
gene-PA14_01520	CP000438.1	141759	141986	-	228	164
gene-PA14_01540	CP000438.1	142162	142785	-	624	893
gene-PA14_01550	CP000438.1	142886	143386	+	501	446
gene-PA14_01560	CP000438.1	143458	143799	+	342	922
gene-PA14_01580	CP000438.1	143881	145308	-	1428	1759
gene-PA14_01600	CP000438.1	145477	146970	-	1494	5096
gene-PA14_01610	CP000438.1	147054	147341	-	288	555
gene-PA14_01620	CP000438.1	147341	148687	-	1347	2953
gene-PA14_01640	CP000438.1	148823	149740	+	918	406
gene-PA14_01660	CP000438.1	149853	151223	-	1371	423
gene-PA14_01670	CP000438.1	152381	153952	+	1572	89
gene-PA14_01680	CP000438.1	153952	155049	+	1098	16
gene-PA14_01690	CP000438.1	155072	156052	+	981	51
gene-PA14_01710	CP000438.1	156164	156727	+	564	30788
gene-PA14_01720	CP000438.1	156872	158437	+	1566	2592
gene-PA14_01730	CP000438.1	158517	159413	-	897	22934
gene-PA14_01750	CP000438.1	159868	161217	+	1350	905
gene-PA14_01760	CP000438.1	161387	162376	+	990	12156
gene-PA14_01770	CP000438.1	162413	163261	-	849	389
gene-PA14_01780	CP000438.1	163296	163922	-	627	1277
gene-PA14_01790	CP000438.1	164072	164590	-	519	546
gene-PA14_01800	CP000438.1	164828	165925	+	1098	84
gene-PA14_01810	CP000438.1	165998	166960	+	963	416
gene-PA14_01830	CP000438.1	167065	168015	+	951	1311
gene-PA14_01840	CP000438.1	168212	168757	+	546	92
gene-PA14_01860	CP000438.1	168754	169749	+	996	155
gene-PA14_01870	CP000438.1	169897	172284	+	2388	129
gene-PA14_01890	CP000438.1	172662	173489	+	828	377
gene-PA14_01900	CP000438.1	173624	174343	+	720	202
gene-PA14_01910	CP000438.1	174354	174959	+	606	172
gene-PA14_01930	CP000438.1	175175	176014	+	840	679
gene-PA14_01940	CP000438.1	176167	177318	+	1152	2850
gene-PA14_01960	CP000438.1	177315	178385	+	1071	2693
gene-PA14_01970	CP000438.1	178382	181429	+	3048	9397
gene-PA14_01980	CP000438.1	181628	182566	+	939	1562
gene-PA14_01990	CP000438.1	182682	182867	+	186	200
gene-PA14_02010	CP000438.1	183147	183299	+	153	76
gene-PA14_02020	CP000438.1	183454	184788	+	1335	1034
gene-PA14_02030	CP000438.1	184817	185614	-	798	476
gene-PA14_02050	CP000438.1	185692	187308	+	1617	831
gene-PA14_02060	CP000438.1	187980	188816	+	837	147
gene-PA14_02070	CP000438.1	189058	190464	+	1407	13
gene-PA14_02090	CP000438.1	190557	191222	+	666	1963
gene-PA14_02100	CP000438.1	191228	191818	+	591	1395
gene-PA14_02110	CP000438.1	191825	192532	-	708	806
gene-PA14_02130	CP000438.1	192659	193039	-	381	319
gene-PA14_02140	CP000438.1	193066	193608	-	543	318
gene-PA14_02150	CP000438.1	193617	195608	-	1992	573
gene-PA14_02180	CP000438.1	195871	196920	-	1050	517
gene-PA14_02190	CP000438.1	196940	197542	-	603	466
gene-PA14_02200	CP000438.1	197548	198390	-	843	1799
gene-PA14_02220	CP000438.1	198460	200499	-	2040	11618
gene-PA14_02230	CP000438.1	200535	201020	-	486	1018
gene-PA14_02250	CP000438.1	201007	202926	-	1920	3863
gene-PA14_02260	CP000438.1	202954	203319	-	366	3387
gene-PA14_02270	CP000438.1	203517	204689	-	1173	3954
gene-PA14_02290	CP000438.1	204880	205815	-	936	339
gene-PA14_02300	CP000438.1	205932	206684	+	753	136
gene-PA14_02310	CP000438.1	206784	208394	-	1611	148
gene-PA14_02330	CP000438.1	208482	209321	-	840	39
gene-PA14_02340	CP000438.1	209318	210934	-	1617	39
gene-PA14_02360	CP000438.1	211201	212262	+	1062	200
gene-PA14_02370	CP000438.1	212285	213643	-	1359	24
gene-PA14_02380	CP000438.1	213891	214616	+	726	80
gene-PA14_02390	CP000438.1	214640	215557	-	918	75
gene-PA14_02410	CP000438.1	215908	218280	+	2373	41
gene-PA14_02420	CP000438.1	218321	219223	+	903	64
gene-PA14_02435	CP000438.1	219291	220190	+	900	53
gene-PA14_02450	CP000438.1	220837	221955	+	1119	1756
gene-PA14_02460	CP000438.1	222031	222339	+	309	860
gene-PA14_02470	CP000438.1	222339	223775	+	1437	1852
gene-PA14_02490	CP000438.1	224119	224931	+	813	15
gene-PA14_02500	CP000438.1	224960	225679	+	720	43
gene-PA14_02510	CP000438.1	225681	226082	+	402	46
gene-PA14_02520	CP000438.1	226263	226475	-	213	4508
gene-PA14_02530	CP000438.1	226691	227272	+	582	1369
gene-PA14_02550	CP000438.1	227383	229047	+	1665	432
gene-PA14_02560	CP000438.1	229047	229928	+	882	58
gene-PA14_02570	CP000438.1	229930	230229	+	300	37
gene-PA14_02580	CP000438.1	230222	231085	+	864	134
gene-PA14_02590	CP000438.1	231082	231888	+	807	135
gene-PA14_02610	CP000438.1	231904	232596	+	693	52
gene-PA14_02620	CP000438.1	232593	233525	+	933	60
gene-PA14_02630	CP000438.1	233582	233986	+	405	121
gene-PA14_02640	CP000438.1	233992	234756	+	765	223
gene-PA14_02650	CP000438.1	234841	235770	-	930	804
gene-PA14_02660	CP000438.1	236099	237019	-	921	535
gene-PA14_02680	CP000438.1	237370	238860	+	1491	56
gene-PA14_02690	CP000438.1	238918	240351	+	1434	48
gene-PA14_02700	CP000438.1	240382	241764	+	1383	86
gene-PA14_02720	CP000438.1	241928	242986	+	1059	43
gene-PA14_02730	CP000438.1	243064	243945	-	882	81
gene-PA14_02740	CP000438.1	244005	244787	-	783	90
gene-PA14_02750	CP000438.1	244942	245481	+	540	666
gene-PA14_02760	CP000438.1	245632	246483	+	852	713
gene-PA14_02770	CP000438.1	246480	247262	+	783	645
gene-PA14_02790	CP000438.1	247259	248464	+	1206	868
gene-PA14_02810	CP000438.1	248614	249912	+	1299	1308
gene-PA14_02830	CP000438.1	249935	251314	+	1380	1885
gene-PA14_02840	CP000438.1	251329	252120	+	792	1713
gene-PA14_02850	CP000438.1	252131	252532	+	402	1167
gene-PA14_02870	CP000438.1	252660	253601	+	942	1590
gene-PA14_02890	CP000438.1	253792	254625	+	834	94
gene-PA14_02900	CP000438.1	254764	256110	-	1347	74
gene-PA14_02910	CP000438.1	256416	257195	+	780	871
gene-PA14_02930	CP000438.1	257439	258482	+	1044	181
gene-PA14_02960	CP000438.1	258505	259320	+	816	82
gene-PA14_02970	CP000438.1	259470	260348	+	879	182
gene-PA14_02980	CP000438.1	260374	261639	-	1266	18
gene-PA14_02990	CP000438.1	261705	263030	-	1326	46
gene-PA14_03000	CP000438.1	263577	265481	+	1905	47
gene-PA14_03010	CP000438.1	265574	266242	+	669	629
gene-PA14_03020	CP000438.1	266282	267136	-	855	26
gene-PA14_03030	CP000438.1	267133	267579	-	447	64
gene-PA14_03040	CP000438.1	267696	269201	-	1506	820
gene-PA14_03050	CP000438.1	269376	270560	-	1185	232
gene-PA14_03070	CP000438.1	270738	271604	+	867	407
gene-PA14_03080	CP000438.1	271601	272047	-	447	522
gene-PA14_03090	CP000438.1	272125	272559	-	435	2040
gene-PA14_03100	CP000438.1	272724	273365	-	642	71
gene-PA14_03110	CP000438.1	273633	273920	-	288	46
gene-PA14_03120	CP000438.1	274012	274488	-	477	234
gene-PA14_03130	CP000438.1	274529	276019	-	1491	710
gene-PA14_03150	CP000438.1	276153	276839	-	687	1346
gene-PA14_03160	CP000438.1	277003	277935	-	933	2708
gene-PA14_03163	CP000438.1	278510	279133	+	624	3843
gene-PA14_03166	CP000438.1	279133	279531	+	399	1017
gene-PA14_03170	CP000438.1	279718	280557	-	840	1395
gene-PA14_03180	CP000438.1	280590	280853	-	264	3559
gene-PA14_03190	CP000438.1	280973	282415	-	1443	6033
gene-PA14_03200	CP000438.1	282565	284715	-	2151	5736
gene-PA14_03210	CP000438.1	284712	285209	-	498	1184
gene-PA14_03220	CP000438.1	285213	288272	-	3060	6032
gene-PA14_03240	CP000438.1	288454	288972	-	519	7156
gene-PA14_03250	CP000438.1	291568	293184	+	1617	1838
gene-PA14_03265	CP000438.1	293187	293936	+	750	1551
gene-PA14_03270	CP000438.1	294101	297238	+	3138	6620
gene-PA14_03285	CP000438.1	297222	298367	+	1146	1898
gene-PA14_03290	CP000438.1	298567	298875	+	309	3147
gene-PA14_03300	CP000438.1	298872	299717	+	846	3463
gene-PA14_03310	CP000438.1	300333	301931	+	1599	391
gene-PA14_03320	CP000438.1	302683	303804	-	1122	2800
gene-PA14_03330	CP000438.1	303810	304676	-	867	1233
gene-PA14_03340	CP000438.1	304673	305599	-	927	1094
gene-PA14_03350	CP000438.1	305950	306903	-	954	7850
gene-PA14_03360	CP000438.1	306896	307666	-	771	4390
gene-PA14_03370	CP000438.1	307985	308983	-	999	2612
gene-PA14_03380	CP000438.1	309749	311728	+	1980	1556
gene-PA14_03390	CP000438.1	311665	312174	-	510	69
gene-PA14_03400	CP000438.1	312167	312499	-	333	22
gene-PA14_03410	CP000438.1	312961	313034	-	74	10
gene-PA14_03420	CP000438.1	313222	313638	-	417	21
gene-PA14_03430	CP000438.1	313663	315114	+	1452	17238
gene-PA14_03450	CP000438.1	315359	316639	+	1281	25124
gene-PA14_03470	CP000438.1	316965	318164	+	1200	2978
gene-PA14_03480	CP000438.1	318332	319753	-	1422	254
gene-PA14_03490	CP000438.1	319880	320317	+	438	1444
gene-PA14_03510	CP000438.1	320329	320736	+	408	1907
gene-PA14_03520	CP000438.1	320770	321054	+	285	1056
gene-PA14_03530	CP000438.1	321051	321983	-	933	468
gene-PA14_03550	CP000438.1	322033	323247	-	1215	40
gene-PA14_03560	CP000438.1	323410	324180	-	771	184
gene-PA14_03580	CP000438.1	324289	324975	-	687	572
gene-PA14_03590	CP000438.1	325051	325566	+	516	116
gene-PA14_03610	CP000438.1	325606	326364	-	759	178
gene-PA14_03620	CP000438.1	326536	327288	-	753	61
gene-PA14_03630	CP000438.1	327382	328080	+	699	295
gene-PA14_03650	CP000438.1	328093	329082	-	990	773
gene-PA14_03670	CP000438.1	329086	329955	-	870	400
gene-PA14_03680	CP000438.1	329966	330784	-	819	452
gene-PA14_03700	CP000438.1	330946	331944	-	999	686
gene-PA14_03710	CP000438.1	332121	332303	-	183	196
gene-PA14_03720	CP000438.1	332467	334749	-	2283	1298
gene-PA14_03730	CP000438.1	334920	336098	+	1179	14306
gene-PA14_03760	CP000438.1	336327	337712	+	1386	261
gene-PA14_03770	CP000438.1	337768	338724	+	957	565
gene-PA14_03780	CP000438.1	338777	339739	+	963	475
gene-PA14_03790	CP000438.1	339852	340823	+	972	803
gene-PA14_03800	CP000438.1	341437	342828	+	1392	6042
gene-PA14_03810	CP000438.1	342926	344032	-	1107	1946
gene-PA14_03830	CP000438.1	344118	344996	-	879	330
gene-PA14_03840	CP000438.1	345159	345824	-	666	826
gene-PA14_03855	CP000438.1	345887	346948	-	1062	3583
gene-PA14_03860	CP000438.1	347204	348580	-	1377	7115
gene-PA14_03870	CP000438.1	348859	349611	+	753	1199
gene-PA14_03880	CP000438.1	349652	351010	+	1359	4811
gene-PA14_03900	CP000438.1	351076	352446	+	1371	14810
gene-PA14_03920	CP000438.1	352562	353665	+	1104	17250
gene-PA14_03930	CP000438.1	354084	355181	+	1098	3879
gene-PA14_03940	CP000438.1	355236	356390	+	1155	6174
gene-PA14_03950	CP000438.1	356417	357298	+	882	3522
gene-PA14_03960	CP000438.1	357381	358250	+	870	3653
gene-PA14_03980	CP000438.1	358448	360835	-	2388	3057
gene-PA14_04000	CP000438.1	360946	361998	+	1053	411
gene-PA14_04010	CP000438.1	361977	362480	-	504	35953
gene-PA14_04020	CP000438.1	362585	363196	-	612	728
gene-PA14_04030	CP000438.1	363195	364214	+	1020	1081
gene-PA14_04040	CP000438.1	364234	364986	-	753	2302
gene-PA14_04050	CP000438.1	365035	365733	+	699	554
gene-PA14_04060	CP000438.1	365755	366309	-	555	48
gene-PA14_04070	CP000438.1	366575	367069	+	495	1034
gene-PA14_04080	CP000438.1	367074	367766	-	693	2108
gene-PA14_04090	CP000438.1	367838	368608	-	771	3327
gene-PA14_04100	CP000438.1	368901	369338	+	438	5008
gene-PA14_04110	CP000438.1	369396	370625	-	1230	8155
gene-PA14_04140	CP000438.1	370829	372223	+	1395	3747
gene-PA14_04150	CP000438.1	372315	372980	+	666	3193
gene-PA14_04160	CP000438.1	373079	374068	+	990	1344
gene-PA14_04180	CP000438.1	374152	374502	+	351	484
gene-PA14_04190	CP000438.1	374583	375617	-	1035	131
gene-PA14_04210	CP000438.1	375633	377027	-	1395	127
gene-PA14_04220	CP000438.1	377448	378491	-	1044	118
gene-PA14_04230	CP000438.1	378539	379327	-	789	29
gene-PA14_04240	CP000438.1	379324	380253	-	930	24
gene-PA14_04250	CP000438.1	380250	381299	-	1050	87
gene-PA14_04270	CP000438.1	381627	382592	+	966	514
gene-PA14_04290	CP000438.1	382631	384574	-	1944	1796
gene-PA14_04300	CP000438.1	384875	385207	-	333	1792
gene-PA14_04310	CP000438.1	385330	386001	-	672	2328
gene-PA14_04320	CP000438.1	386260	387774	+	1515	2507
gene-PA14_04330	CP000438.1	387894	388361	+	468	1420
gene-PA14_04340	CP000438.1	388412	389683	+	1272	1788
gene-PA14_04350	CP000438.1	389680	390147	+	468	645
gene-PA14_04370	CP000438.1	390120	391361	-	1242	685
gene-PA14_04380	CP000438.1	391411	392064	-	654	1874
gene-PA14_04390	CP000438.1	392268	392747	+	480	2335
gene-PA14_04410	CP000438.1	392770	395049	+	2280	7485
gene-PA14_04420	CP000438.1	395075	396205	+	1131	748
gene-PA14_04430	CP000438.1	396209	396964	-	756	1129
gene-PA14_04440	CP000438.1	397086	397889	+	804	649
gene-PA14_04460	CP000438.1	397899	398699	+	801	2904
gene-PA14_04480	CP000438.1	398905	399699	+	795	2389
gene-PA14_04490	CP000438.1	399726	400523	-	798	1637
gene-PA14_04510	CP000438.1	400558	401937	-	1380	2457
gene-PA14_04520	CP000438.1	401930	403315	-	1386	1523
gene-PA14_04530	CP000438.1	403507	403869	+	363	567
gene-PA14_04550	CP000438.1	403906	405057	-	1152	114
gene-PA14_04560	CP000438.1	405267	406361	+	1095	131
gene-PA14_04570	CP000438.1	406358	407398	+	1041	110
gene-PA14_04580	CP000438.1	407469	407975	+	507	483
gene-PA14_04590	CP000438.1	407991	408464	-	474	465
gene-PA14_04610	CP000438.1	408603	409988	-	1386	476
gene-PA14_04630	CP000438.1	410218	412056	-	1839	4711
gene-PA14_04640	CP000438.1	412384	413580	-	1197	2600
gene-PA14_04650	CP000438.1	413653	414192	-	540	1769
gene-PA14_04660	CP000438.1	414409	415233	+	825	391
gene-PA14_04670	CP000438.1	415292	416104	+	813	1880
gene-PA14_04680	CP000438.1	416181	416759	+	579	302
gene-PA14_04690	CP000438.1	416842	417186	+	345	809
gene-PA14_04700	CP000438.1	417456	418442	+	987	2919
gene-PA14_04710	CP000438.1	418555	418986	-	432	2592
gene-PA14_04730	CP000438.1	419138	420871	-	1734	2359
gene-PA14_04750	CP000438.1	420999	421250	-	252	471
gene-PA14_04760	CP000438.1	421371	421850	-	480	2024
gene-PA14_04780	CP000438.1	421999	423594	-	1596	2523
gene-PA14_04790	CP000438.1	423650	424198	-	549	1309
gene-PA14_04810	CP000438.1	424253	425683	-	1431	4236
gene-PA14_04820	CP000438.1	425972	426619	+	648	532
gene-PA14_04830	CP000438.1	426604	427014	-	411	567
gene-PA14_04840	CP000438.1	427077	428075	-	999	933
gene-PA14_04850	CP000438.1	428112	428402	-	291	491
gene-PA14_04860	CP000438.1	428681	429277	-	597	2322
gene-PA14_04870	CP000438.1	429277	430764	-	1488	7880
gene-PA14_04890	CP000438.1	430757	432154	-	1398	6964
gene-PA14_04900	CP000438.1	432275	433630	+	1356	4193
gene-PA14_04910	CP000438.1	433627	434298	+	672	2423
gene-PA14_04920	CP000438.1	434298	435305	+	1008	3085
gene-PA14_04930	CP000438.1	435419	436273	+	855	9924
gene-PA14_04940	CP000438.1	436338	436943	+	606	3221
gene-PA14_04950	CP000438.1	436948	437679	-	732	258
gene-PA14_04960	CP000438.1	437716	438093	+	378	750
gene-PA14_04970	CP000438.1	438196	438396	+	201	253
gene-PA14_04980	CP000438.1	438455	439252	+	798	1668
gene-PA14_05000	CP000438.1	439406	440077	+	672	897
gene-PA14_05010	CP000438.1	440240	441586	+	1347	254
gene-PA14_05020	CP000438.1	441599	441856	-	258	350
gene-PA14_05030	CP000438.1	441918	442241	-	324	408
gene-PA14_05040	CP000438.1	442322	443476	-	1155	472
gene-PA14_05050	CP000438.1	443597	444190	-	594	2537
gene-PA14_05060	CP000438.1	444187	444606	-	420	2816
gene-PA14_05070	CP000438.1	444738	445358	-	621	791
gene-PA14_05080	CP000438.1	445366	446505	-	1140	1247
gene-PA14_05110	CP000438.1	446594	448561	-	1968	1995
gene-PA14_05120	CP000438.1	448669	448839	-	171	430
gene-PA14_05130	CP000438.1	448962	449555	-	594	1398
gene-PA14_05150	CP000438.1	449566	450387	-	822	1867
gene-PA14_05160	CP000438.1	450399	451091	-	693	866
gene-PA14_05180	CP000438.1	451306	452340	+	1035	4049
gene-PA14_05190	CP000438.1	452518	453666	+	1149	2483
gene-PA14_05200	CP000438.1	453674	454573	-	900	1211
gene-PA14_05210	CP000438.1	454728	455132	+	405	870
gene-PA14_05220	CP000438.1	455375	456748	+	1374	27659
gene-PA14_05230	CP000438.1	456745	457929	+	1185	22694
gene-PA14_05250	CP000438.1	458157	459428	-	1272	3761
gene-PA14_05260	CP000438.1	459425	460429	-	1005	5230
gene-PA14_05270	CP000438.1	460453	460965	-	513	3476
gene-PA14_05280	CP000438.1	461077	461511	-	435	871
gene-PA14_05290	CP000438.1	461511	462080	-	570	1158
gene-PA14_05300	CP000438.1	462129	463088	-	960	847
gene-PA14_05310	CP000438.1	463169	464122	-	954	2599
gene-PA14_05320	CP000438.1	464377	464784	+	408	2526
gene-PA14_05330	CP000438.1	464831	465196	+	366	2203
gene-PA14_05340	CP000438.1	465247	465783	+	537	1363
gene-PA14_05360	CP000438.1	465868	467916	+	2049	7036
gene-PA14_05380	CP000438.1	467977	468852	+	876	1492
gene-PA14_05390	CP000438.1	468864	476294	+	7431	13559
gene-PA14_05400	CP000438.1	476287	477318	+	1032	1850
gene-PA14_05410	CP000438.1	477315	477821	+	507	1369
gene-PA14_05420	CP000438.1	477829	478623	+	795	616
gene-PA14_05430	CP000438.1	478700	479311	+	612	130
gene-PA14_05440	CP000438.1	479319	480734	-	1416	1286
gene-PA14_05450	CP000438.1	480769	481491	-	723	407
gene-PA14_05460	CP000438.1	481584	482987	-	1404	1942
gene-PA14_05480	CP000438.1	483161	484651	+	1491	4423
gene-PA14_05500	CP000438.1	484832	485401	+	570	5827
gene-PA14_05510	CP000438.1	485413	485988	+	576	23908
gene-PA14_05520	CP000438.1	486057	486500	-	444	309
gene-PA14_05530	CP000438.1	486775	487926	+	1152	8868
gene-PA14_05540	CP000438.1	487942	491082	+	3141	33711
gene-PA14_05550	CP000438.1	491084	492541	+	1458	13465
gene-PA14_05560	CP000438.1	492637	494556	-	1920	3943
gene-PA14_05580	CP000438.1	494807	495877	-	1071	4871
gene-PA14_05590	CP000438.1	495947	496819	-	873	6183
gene-PA14_05600	CP000438.1	496862	497416	-	555	7291
gene-PA14_05620	CP000438.1	497457	498866	-	1410	37744
gene-PA14_05630	CP000438.1	499155	499589	+	435	121
gene-PA14_05640	CP000438.1	499715	501907	+	2193	220
gene-PA14_05650	CP000438.1	501918	503396	+	1479	192
gene-PA14_05660	CP000438.1	503481	504101	+	621	6103
gene-PA14_05690	CP000438.1	504138	505409	-	1272	1421
gene-PA14_05700	CP000438.1	505399	506649	-	1251	605
