# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "./references/genomic.gtf" "./results/bowtie2/wt_1_dark_T1.bam" "--minOverlap" "30" "-s" "2" "-p" "-t" "gene" "-o" "./results/featureCounts_30/wt_1_dark_T1.txt" 
Geneid	Chr	Start	End	Strand	Length	./results/bowtie2/wt_1_dark_T1.bam
PA14_02840	CP000438.1	251329	252120	+	792	2226
PA14_02850	CP000438.1	252131	252532	+	402	1379
PA14_02870	CP000438.1	252660	253601	+	942	2511
PA14_02890	CP000438.1	253792	254625	+	834	171
PA14_02900	CP000438.1	254764	256110	-	1347	100
PA14_02910	CP000438.1	256416	257195	+	780	1823
PA14_02930	CP000438.1	257439	258482	+	1044	277
PA14_02960	CP000438.1	258505	259320	+	816	175
PA14_02970	CP000438.1	259470	260348	+	879	308
PA14_02980	CP000438.1	260374	261639	-	1266	37
PA14_02990	CP000438.1	261705	263030	-	1326	75
PA14_03000	CP000438.1	263577	265481	+	1905	111
PA14_03010	CP000438.1	265574	266242	+	669	915
PA14_03020	CP000438.1	266282	267136	-	855	61
PA14_03030	CP000438.1	267133	267579	-	447	99
PA14_03040	CP000438.1	267696	269201	-	1506	1422
PA14_03050	CP000438.1	269376	270560	-	1185	354
PA14_03070	CP000438.1	270738	271604	+	867	848
PA14_03080	CP000438.1	271601	272047	-	447	880
PA14_03090	CP000438.1	272125	272559	-	435	3399
PA14_03100	CP000438.1	272724	273365	-	642	124
PA14_03110	CP000438.1	273633	273920	-	288	56
PA14_03120	CP000438.1	274012	274488	-	477	385
PA14_03130	CP000438.1	274529	276019	-	1491	1218
PA14_03150	CP000438.1	276153	276839	-	687	2239
PA14_03160	CP000438.1	277003	277935	-	933	4562
PA14_03163	CP000438.1	278510	279133	+	624	5894
PA14_03166	CP000438.1	279133	279531	+	399	1234
PA14_03170	CP000438.1	279718	280557	-	840	2079
PA14_03180	CP000438.1	280590	280853	-	264	4187
PA14_03190	CP000438.1	280973	282415	-	1443	12347
PA14_03200	CP000438.1	282565	284715	-	2151	12970
PA14_03210	CP000438.1	284712	285209	-	498	1721
PA14_03220	CP000438.1	285213	288272	-	3060	12971
PA14_03240	CP000438.1	288454	288972	-	519	19927
PA14_03250	CP000438.1	291568	293184	+	1617	2356
PA14_03265	CP000438.1	293187	293936	+	750	1780
PA14_03270	CP000438.1	294101	297238	+	3138	9375
PA14_03285	CP000438.1	297222	298367	+	1146	1658
PA14_03290	CP000438.1	298567	298875	+	309	2584
PA14_03300	CP000438.1	298872	299717	+	846	3977
PA14_03310	CP000438.1	300333	301931	+	1599	685
PA14_03320	CP000438.1	302683	303804	-	1122	4377
PA14_03330	CP000438.1	303810	304676	-	867	1819
PA14_03340	CP000438.1	304673	305599	-	927	1633
PA14_03350	CP000438.1	305950	306903	-	954	8925
PA14_03360	CP000438.1	306896	307666	-	771	5825
PA14_03370	CP000438.1	307985	308983	-	999	5008
PA14_03380	CP000438.1	309749	311728	+	1980	2522
PA14_03390	CP000438.1	311665	312174	-	510	92
PA14_03400	CP000438.1	312167	312499	-	333	29
PA14_03410	CP000438.1	312961	313034	-	74	4
PA14_03420	CP000438.1	313222	313638	-	417	30
PA14_03430	CP000438.1	313663	315114	+	1452	33476
PA14_03450	CP000438.1	315359	316639	+	1281	54130
PA14_03470	CP000438.1	316965	318164	+	1200	4429
PA14_03480	CP000438.1	318332	319753	-	1422	581
PA14_03490	CP000438.1	319880	320317	+	438	2274
PA14_03510	CP000438.1	320329	320736	+	408	2683
PA14_03520	CP000438.1	320770	321054	+	285	956
PA14_03530	CP000438.1	321051	321983	-	933	851
PA14_03550	CP000438.1	322033	323247	-	1215	94
PA14_03560	CP000438.1	323410	324180	-	771	214
PA14_03580	CP000438.1	324289	324975	-	687	987
PA14_03590	CP000438.1	325051	325566	+	516	323
PA14_03610	CP000438.1	325606	326364	-	759	746
PA14_03620	CP000438.1	326536	327288	-	753	156
PA14_03630	CP000438.1	327382	328080	+	699	556
PA14_03650	CP000438.1	328093	329082	-	990	910
PA14_03670	CP000438.1	329086	329955	-	870	409
PA14_03680	CP000438.1	329966	330784	-	819	560
PA14_03700	CP000438.1	330946	331944	-	999	884
PA14_03710	CP000438.1	332121	332303	-	183	181
PA14_03720	CP000438.1	332467	334749	-	2283	2297
PA14_03730	CP000438.1	334920	336098	+	1179	23431
PA14_03760	CP000438.1	336327	337712	+	1386	302
PA14_03770	CP000438.1	337768	338724	+	957	1036
PA14_03780	CP000438.1	338777	339739	+	963	840
PA14_03790	CP000438.1	339852	340823	+	972	1132
PA14_03800	CP000438.1	341437	342828	+	1392	12483
PA14_03810	CP000438.1	342926	344032	-	1107	3353
PA14_03830	CP000438.1	344118	344996	-	879	437
PA14_03840	CP000438.1	345159	345824	-	666	1505
PA14_03855	CP000438.1	345887	346948	-	1062	9437
PA14_03860	CP000438.1	347204	348580	-	1377	12284
PA14_03870	CP000438.1	348859	349611	+	753	1779
PA14_03880	CP000438.1	349652	351010	+	1359	8854
PA14_03900	CP000438.1	351076	352446	+	1371	28605
PA14_03920	CP000438.1	352562	353665	+	1104	28286
PA14_03930	CP000438.1	354084	355181	+	1098	6419
PA14_03940	CP000438.1	355236	356390	+	1155	9531
PA14_03950	CP000438.1	356417	357298	+	882	5630
PA14_03960	CP000438.1	357381	358250	+	870	5751
PA14_03980	CP000438.1	358448	360835	-	2388	6510
PA14_04000	CP000438.1	360946	361998	+	1053	565
PA14_04010	CP000438.1	361977	362480	-	504	61190
PA14_04020	CP000438.1	362585	363196	-	612	1241
PA14_04030	CP000438.1	363195	364214	+	1020	1787
PA14_04040	CP000438.1	364234	364986	-	753	4108
PA14_04050	CP000438.1	365035	365733	+	699	906
PA14_04060	CP000438.1	365755	366309	-	555	110
PA14_04070	CP000438.1	366575	367069	+	495	2108
PA14_04080	CP000438.1	367074	367766	-	693	2693
PA14_04090	CP000438.1	367838	368608	-	771	5980
PA14_04100	CP000438.1	368901	369338	+	438	11144
PA14_04110	CP000438.1	369396	370625	-	1230	15481
PA14_04140	CP000438.1	370829	372223	+	1395	5732
PA14_04150	CP000438.1	372315	372980	+	666	5380
PA14_04160	CP000438.1	373079	374068	+	990	2139
PA14_04180	CP000438.1	374152	374502	+	351	2006
PA14_04190	CP000438.1	374583	375617	-	1035	197
PA14_04210	CP000438.1	375633	377027	-	1395	164
PA14_04220	CP000438.1	377448	378491	-	1044	204
PA14_04230	CP000438.1	378539	379327	-	789	37
PA14_04240	CP000438.1	379324	380253	-	930	51
PA14_04250	CP000438.1	380250	381299	-	1050	193
PA14_04270	CP000438.1	381627	382592	+	966	1000
PA14_04290	CP000438.1	382631	384574	-	1944	3500
PA14_04300	CP000438.1	384875	385207	-	333	3954
PA14_04310	CP000438.1	385330	386001	-	672	3857
PA14_04320	CP000438.1	386260	387774	+	1515	4595
PA14_04330	CP000438.1	387894	388361	+	468	2902
PA14_04340	CP000438.1	388412	389683	+	1272	3328
PA14_04350	CP000438.1	389680	390147	+	468	1280
PA14_04370	CP000438.1	390120	391361	-	1242	1115
PA14_04380	CP000438.1	391411	392064	-	654	3515
PA14_04390	CP000438.1	392268	392747	+	480	4208
PA14_04410	CP000438.1	392770	395049	+	2280	12680
PA14_04420	CP000438.1	395075	396205	+	1131	1193
PA14_04430	CP000438.1	396209	396964	-	756	1969
PA14_04440	CP000438.1	397086	397889	+	804	882
PA14_04460	CP000438.1	397899	398699	+	801	4945
PA14_04480	CP000438.1	398905	399699	+	795	3979
PA14_04490	CP000438.1	399726	400523	-	798	2099
PA14_04510	CP000438.1	400558	401937	-	1380	3565
PA14_04520	CP000438.1	401930	403315	-	1386	2745
PA14_04530	CP000438.1	403507	403869	+	363	642
PA14_04550	CP000438.1	403906	405057	-	1152	267
PA14_04560	CP000438.1	405267	406361	+	1095	262
PA14_04570	CP000438.1	406358	407398	+	1041	165
PA14_04580	CP000438.1	407469	407975	+	507	888
PA14_04590	CP000438.1	407991	408464	-	474	908
PA14_04610	CP000438.1	408603	409988	-	1386	1015
PA14_04630	CP000438.1	410218	412056	-	1839	8640
PA14_04640	CP000438.1	412384	413580	-	1197	3467
PA14_04650	CP000438.1	413653	414192	-	540	2374
PA14_04660	CP000438.1	414409	415233	+	825	646
PA14_04670	CP000438.1	415292	416104	+	813	3650
PA14_04680	CP000438.1	416181	416759	+	579	487
PA14_04690	CP000438.1	416842	417186	+	345	2113
PA14_04700	CP000438.1	417456	418442	+	987	4273
PA14_04710	CP000438.1	418555	418986	-	432	5915
PA14_04730	CP000438.1	419138	420871	-	1734	5281
PA14_04750	CP000438.1	420999	421250	-	252	675
PA14_04760	CP000438.1	421371	421850	-	480	3761
PA14_04780	CP000438.1	421999	423594	-	1596	3472
PA14_04790	CP000438.1	423650	424198	-	549	1556
PA14_04810	CP000438.1	424253	425683	-	1431	5868
PA14_04820	CP000438.1	425972	426619	+	648	864
PA14_04830	CP000438.1	426604	427014	-	411	1221
PA14_04840	CP000438.1	427077	428075	-	999	1543
PA14_04850	CP000438.1	428112	428402	-	291	689
PA14_04860	CP000438.1	428681	429277	-	597	3817
PA14_04870	CP000438.1	429277	430764	-	1488	14078
PA14_04890	CP000438.1	430757	432154	-	1398	11857
PA14_04900	CP000438.1	432275	433630	+	1356	6688
PA14_04910	CP000438.1	433627	434298	+	672	3374
PA14_04920	CP000438.1	434298	435305	+	1008	4378
PA14_04930	CP000438.1	435419	436273	+	855	18078
PA14_04940	CP000438.1	436338	436943	+	606	4724
PA14_04950	CP000438.1	436948	437679	-	732	512
PA14_04960	CP000438.1	437716	438093	+	378	922
PA14_04970	CP000438.1	438196	438396	+	201	352
PA14_04980	CP000438.1	438455	439252	+	798	3054
PA14_05000	CP000438.1	439406	440077	+	672	1448
PA14_05010	CP000438.1	440240	441586	+	1347	451
PA14_05020	CP000438.1	441599	441856	-	258	488
PA14_05030	CP000438.1	441918	442241	-	324	556
PA14_05040	CP000438.1	442322	443476	-	1155	935
PA14_05050	CP000438.1	443597	444190	-	594	3999
PA14_05060	CP000438.1	444187	444606	-	420	4030
PA14_05070	CP000438.1	444738	445358	-	621	1197
PA14_05080	CP000438.1	445366	446505	-	1140	2121
PA14_05110	CP000438.1	446594	448561	-	1968	3608
PA14_05120	CP000438.1	448669	448839	-	171	583
PA14_05130	CP000438.1	448962	449555	-	594	2037
PA14_05150	CP000438.1	449566	450387	-	822	3497
PA14_05160	CP000438.1	450399	451091	-	693	1419
PA14_05180	CP000438.1	451306	452340	+	1035	6082
PA14_05190	CP000438.1	452518	453666	+	1149	4188
PA14_05200	CP000438.1	453674	454573	-	900	1787
PA14_05210	CP000438.1	454728	455132	+	405	1216
PA14_05220	CP000438.1	455375	456748	+	1374	43364
PA14_05230	CP000438.1	456745	457929	+	1185	38703
PA14_05250	CP000438.1	458157	459428	-	1272	8752
PA14_05260	CP000438.1	459425	460429	-	1005	10005
PA14_05270	CP000438.1	460453	460965	-	513	7952
PA14_05280	CP000438.1	461077	461511	-	435	1242
PA14_05290	CP000438.1	461511	462080	-	570	2024
PA14_05300	CP000438.1	462129	463088	-	960	1502
PA14_05310	CP000438.1	463169	464122	-	954	4777
PA14_05320	CP000438.1	464377	464784	+	408	4040
PA14_05330	CP000438.1	464831	465196	+	366	3867
PA14_05340	CP000438.1	465247	465783	+	537	2655
PA14_05360	CP000438.1	465868	467916	+	2049	12859
PA14_05380	CP000438.1	467977	468852	+	876	2056
PA14_05390	CP000438.1	468864	476294	+	7431	23858
PA14_05400	CP000438.1	476287	477318	+	1032	2619
PA14_05410	CP000438.1	477315	477821	+	507	1859
PA14_05420	CP000438.1	477829	478623	+	795	1020
PA14_05430	CP000438.1	478700	479311	+	612	140
PA14_05440	CP000438.1	479319	480734	-	1416	2564
PA14_05450	CP000438.1	480769	481491	-	723	854
PA14_05460	CP000438.1	481584	482987	-	1404	3347
PA14_05480	CP000438.1	483161	484651	+	1491	6829
PA14_05500	CP000438.1	484832	485401	+	570	6711
PA14_05510	CP000438.1	485413	485988	+	576	42705
PA14_05520	CP000438.1	486057	486500	-	444	1148
PA14_05530	CP000438.1	486775	487926	+	1152	15997
PA14_05540	CP000438.1	487942	491082	+	3141	54819
PA14_05550	CP000438.1	491084	492541	+	1458	28872
PA14_05560	CP000438.1	492637	494556	-	1920	10714
PA14_05580	CP000438.1	494807	495877	-	1071	8025
PA14_05590	CP000438.1	495947	496819	-	873	11055
PA14_05600	CP000438.1	496862	497416	-	555	11064
PA14_05620	CP000438.1	497457	498866	-	1410	86509
PA14_05630	CP000438.1	499155	499589	+	435	247
PA14_05640	CP000438.1	499715	501907	+	2193	503
PA14_05650	CP000438.1	501918	503396	+	1479	473
PA14_05660	CP000438.1	503481	504101	+	621	9381
PA14_05690	CP000438.1	504138	505409	-	1272	3001
PA14_05700	CP000438.1	505399	506649	-	1251	1106
PA14_05740	CP000438.1	506831	508108	-	1278	1174
PA14_05750	CP000438.1	508105	509472	-	1368	1001
PA14_05770	CP000438.1	509567	511006	-	1440	5008
PA14_05775	CP000438.1	511113	511229	-	117	6
PA14_05790	CP000438.1	511622	513112	+	1491	488
PA14_05810	CP000438.1	513171	514454	+	1284	3121
PA14_05820	CP000438.1	514655	515878	-	1224	12279
PA14_05840	CP000438.1	515998	517179	-	1182	44959
PA14_05850	CP000438.1	517400	518308	+	909	952
PA14_05860	CP000438.1	518460	518864	+	405	2592
PA14_05870	CP000438.1	518907	520529	-	1623	114
PA14_05880	CP000438.1	520909	522240	+	1332	2378
PA14_05890	CP000438.1	522237	523031	+	795	290
PA14_05910	CP000438.1	523139	523870	+	732	497
PA14_05920	CP000438.1	523867	526068	-	2202	1658
PA14_05950	CP000438.1	526330	527706	-	1377	4290
PA14_05960	CP000438.1	528054	528263	+	210	14427
PA14_05970	CP000438.1	528414	528938	+	525	2070
PA14_05990	CP000438.1	529041	530474	-	1434	3293
PA14_06000	CP000438.1	531095	533647	+	2553	74421
PA14_06010	CP000438.1	533749	534327	+	579	16925
PA14_06030	CP000438.1	534444	535331	-	888	2043
PA14_06040	CP000438.1	535279	535983	+	705	8178
PA14_06060	CP000438.1	536068	536757	+	690	1397
PA14_06070	CP000438.1	536757	538181	+	1425	1488
PA14_06080	CP000438.1	538283	539641	+	1359	415
PA14_06090	CP000438.1	539691	539993	+	303	93
PA14_06120	CP000438.1	540138	540758	-	621	2796
PA14_06130	CP000438.1	540777	541727	-	951	3073
PA14_06150	CP000438.1	541813	542670	+	858	3928
PA14_06160	CP000438.1	542843	545236	-	2394	320
PA14_06170	CP000438.1	545340	546311	-	972	251
PA14_06180	CP000438.1	546308	546826	-	519	273
PA14_06190	CP000438.1	546995	547744	+	750	1865
PA14_06200	CP000438.1	547884	548288	+	405	89
PA14_06210	CP000438.1	548338	548907	+	570	699
PA14_06230	CP000438.1	548941	550668	-	1728	60
PA14_06240	CP000438.1	551016	551942	-	927	769
PA14_06250	CP000438.1	552030	552506	+	477	684
PA14_06260	CP000438.1	552585	553523	-	939	1263
PA14_06270	CP000438.1	553627	554424	+	798	142
PA14_06280	CP000438.1	554467	554910	+	444	624
PA14_06290	CP000438.1	554958	557135	-	2178	32738
PA14_06300	CP000438.1	557442	557885	+	444	1817
PA14_06310	CP000438.1	557917	558432	+	516	6776
PA14_06320	CP000438.1	559121	560017	-	897	959
PA14_06330	CP000438.1	560220	561194	-	975	2703
PA14_06340	CP000438.1	561256	562014	-	759	1209
