,wt_light_mean_rpm,wt_dark_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00990,18.290951938823326,18.703264083049895,-0.0321599076390115,0.036671704002864555,cds-ABJ15038.1,PA14_00990,conserved hypothetical protein
gene-PA14_01010,85.9171809086561,57.648831277631984,0.5756552882672157,1.1180620012245506,cds-ABJ15039.1,PA14_01010,conserved hypothetical protein
gene-PA14_01020,138.5904165969273,135.4689556468215,0.03286522121407273,0.048228974056133814,cds-ABJ15040.1,PA14_01020,conserved hypothetical protein
gene-PA14_01030,97.7047690989166,79.60523582167068,0.2955656570847366,0.3933488900728523,cds-ABJ15041.1,PA14_01030,conserved hypothetical protein
gene-PA14_01040,21.00098020762596,22.193132358463426,-0.07965663510296818,0.09665659272026368,cds-ABJ15042.1,PA14_01040,putative secretion protein
gene-PA14_01060,6.413831525479807,6.3866646397988305,0.006123760114634413,0.005531632250230556,cds-ABJ15043.1,PA14_01060,conserved hypothetical protein
gene-PA14_01070,24.679207559106363,23.558033489480252,0.06707695298717258,0.09204119630544587,cds-ABJ15044.1,PA14_01070,conserved hypothetical protein
gene-PA14_01080,9.623222069335558,10.402232532660173,-0.11230125581041048,0.1407995935609296,cds-ABJ15045.1,PA14_01080,conserved hypothetical protein
gene-PA14_01100,91.28087637972527,93.91217725823714,-0.04099959581876848,0.052145019521552025,cds-ABJ15046.1,clpB,putative ClpA/B-type chaperone
gene-PA14_01110,47.52809740592293,38.665006435452185,0.2977521901938777,0.36092997677520644,cds-ABJ15047.1,PA14_01110,hypothetical protein
gene-PA14_01120,7.609004655628276,10.208615685809052,-0.4240075475222624,1.264209560841364,cds-ABJ15048.1,PA14_01120,hypothetical protein
gene-PA14_01130,17.451702770851337,20.759390520695973,-0.2503962669390913,1.1548560521159315,cds-ABJ15049.1,PA14_01130,hypothetical protein
gene-PA14_01140,13.077161518012785,11.181182241069607,0.22597667030909657,0.5171040684726981,cds-ABJ15050.1,PA14_01140,conserved hypothetical protein
gene-PA14_01150,19.39326129718577,16.108702949822582,0.2677150866419601,0.6083196172739139,cds-ABJ15051.1,PA14_01150,hypothetical protein
gene-PA14_01160,74.87654731464069,84.42766775006844,-0.17320194779132234,0.7825805722127799,cds-ABJ15052.1,PA14_01160,conserved hypothetical protein
gene-PA14_01170,6.919435997205784,7.849119941452803,-0.18187643178256163,0.7959711963300895,cds-ABJ15053.1,PA14_01170,conserved hypothetical protein
gene-PA14_01180,17.968505558409145,17.563438538091845,0.032895102208496854,0.05301254753006016,cds-ABJ15054.1,PA14_01180,conserved hypothetical protein
gene-PA14_01190,9.82494318472483,10.322399279509414,-0.0712573646585644,0.2658417682752391,cds-ABJ15055.1,PA14_01190,Putative 3-oxoacyl-(acyl-carrier-protein) synthase
gene-PA14_01200,22.24944438986007,19.621984355560937,0.18129835347542128,0.26180878647964717,cds-ABJ15056.1,PA14_01200,hypothetical protein
gene-PA14_01220,35.13534158412192,30.42228401494415,0.20779444764348096,0.4152516335110103,cds-ABJ15057.1,PA14_01220,hypothetical protein
gene-PA14_01230,17.90233811147419,22.77977350527527,-0.3476053642301753,2.3864046717085827,cds-ABJ15058.1,PA14_01230,hypothetical protein
gene-PA14_01240,140.570554188075,123.5249411746617,0.1864920494503442,1.1842142429900968,cds-ABJ15059.1,PA14_01240,probable carbonic anhydrase
gene-PA14_01250,90.19719816002437,50.99452532154112,0.8227402363449592,3.917409713633256,cds-ABJ15060.1,ychM,putative sulfate transporter
gene-PA14_01270,15.382953110695595,7.326270906695727,1.0701814301978088,1.9341325698214895,cds-ABJ15061.1,PA14_01270,conserved hypothetical protein
gene-PA14_01290,13.55787739560096,28.31427773680743,-1.0623983434555053,3.5422626370623664,cds-ABJ15062.1,coxB,cytochrome c oxidase%2C subunit II
gene-PA14_01300,5.514381501354027,9.447483941749503,-0.7767309709305223,2.3839599645343648,cds-ABJ15063.1,coxA,cytochrome c oxidase%2C subunit I
gene-PA14_01310,1.996367373865971,3.082176095160525,-0.6265718025260519,1.2560696393888038,cds-ABJ15064.1,coxG,putative cytochrome c oxidase assembly protein
gene-PA14_01320,5.30604379172173,6.059644401586176,-0.19159651797490734,0.4340391896521505,cds-ABJ15065.1,coIII,cytochrome c oxidase%2C subunit III
gene-PA14_01330,33.72963075602252,105.33122790890809,-1.642844761118404,3.5162822930378534,cds-ABJ15066.1,PA14_01330,conserved hypothetical protein
gene-PA14_01340,3.8602942771147775,5.262252305882877,-0.4469694910498897,1.6772795129501041,cds-ABJ15067.1,PA14_01340,conserved hypothetical protein
gene-PA14_01350,1.6539868343321105,2.6980171232136647,-0.7059514140834292,3.191038542471568,cds-ABJ15068.1,PA14_01350,conserved hypothetical protein
gene-PA14_01360,1.8977276377625716,2.0092361658484705,-0.08237415477490506,0.16951694760964722,cds-ABJ15069.1,ctaA,putative cytochrome oxidase assembly protein
gene-PA14_01380,4.204046946882226,6.353348460734531,-0.5957382516003785,1.2437382150677339,cds-ABJ15070.1,ctaB,putative cytochrome c oxidase assembly factor
gene-PA14_01390,227.04240123702834,232.57583720671758,-0.03473946705273926,0.20858011763635723,cds-ABJ15071.1,PA14_01390,putative Sco1/SenC family protein
gene-PA14_01400,37.18663771164234,25.17618955881625,0.5627243454211807,2.5997653281026833,cds-ABJ15072.1,elaA,putative acyltransferase
gene-PA14_01410,47.02684437370461,40.43578360939592,0.21785195187013925,1.0563684095232249,cds-ABJ15073.1,PA14_01410,putative transcriptional regulator
gene-PA14_01430,7.744196351417521,6.935750855652631,0.15906343490536057,0.2941133854243881,cds-ABJ15074.1,PA14_01430,putative short chain dehydrogenase
gene-PA14_01440,15.099360104078011,13.30721045671114,0.1822792220062912,0.9811761253726727,cds-ABJ15075.1,PA14_01440,putative 2-hydroxychromene-2-carboxylate isomerase
gene-PA14_01460,16.241289243122576,18.40558288399267,-0.18047726940189032,0.32098262147568063,cds-ABJ15076.1,dctA,putative dicarboxylate transporter
gene-PA14_01470,14.294659369033008,19.279993184752996,-0.43162827328798625,1.5078077502260507,cds-ABJ15077.1,PA14_01470,putative transcriptional regulator
gene-PA14_01480,13.672505822923393,17.251733355559093,-0.3354636243728495,1.9046742485541437,cds-ABJ15078.1,PA14_01480,putative transcriptional regulator
gene-PA14_01490,1182.3466331395869,1867.3619067285933,-0.6593484997564844,2.0461942674649762,cds-ABJ15079.1,PA14_01490,putative hemolysin
gene-PA14_01500,29.30255340320008,23.406002613467127,0.32414780775554447,1.334428665050499,cds-ABJ15080.1,PA14_01500,putative transcriptional regulator
gene-PA14_01510,7.405628753496633,6.91984612562747,0.09788225732529235,0.24856634109386264,cds-ABJ15081.1,PA14_01510,putative plasmid stabilisation system protein
gene-PA14_01520,4.1081525679730975,5.685096316942051,-0.46869493219651004,1.2331428844190102,cds-ABJ15082.1,PA14_01520,putative transcriptional regulator
gene-PA14_01540,36.516705904589635,65.72399456838376,-0.8478635206040774,3.239441298831675,cds-ABJ15083.1,PA14_01540,hypothetical protein
gene-PA14_01550,19.777560853681837,24.249877451119943,-0.294112932027516,1.545216434462045,cds-ABJ15084.1,PA14_01550,putative lipoprotein
gene-PA14_01560,52.88611019893443,38.11390804712304,0.47257131377421685,2.1437313619420704,cds-ABJ15085.1,phnA,putative alkylphosphonate uptake protein
gene-PA14_01580,186.0778898762603,111.85028617916173,0.7343376890046233,0.9313720858377339,cds-ABJ15086.1,gabP,gamma-aminobutyrate permease
gene-PA14_01600,509.746394083373,304.9286330548657,0.7413080358382422,0.9223198456642114,cds-ABJ15087.1,mmsA,putative aldehyde dehydrogenase
gene-PA14_01610,36.8128294484437,28.047263379858162,0.3923486163188334,0.4934724029455505,cds-ABJ15088.1,PA14_01610,conserved hypothetical protein
gene-PA14_01620,252.50410497213605,182.28325654342862,0.47012478973629807,0.5757962215384379,cds-ABJ15089.1,aptA,beta-alanine--pyruvate transaminase
gene-PA14_01640,18.41218940827012,18.433595504269423,-0.0016763095373782517,0.006160650638147934,cds-ABJ15090.1,PA14_01640,putative transcriptional regulator%2C LysR family
gene-PA14_01660,23.127133253336932,38.07189562681353,-0.7191399334935527,2.999552348783038,cds-ABJ15091.1,guaD,putative guanine deaminase
gene-PA14_01670,4.055946312085497,5.841609557786344,-0.5263272691995629,1.5474379737178978,cds-ABJ15092.1,PA14_01670,putative ATP-binding component of ABC transporter
gene-PA14_01680,1.101589315697425,1.291135643200633,-0.2290539087737146,0.3591592025523495,cds-ABJ15093.1,PA14_01680,putative permease of ABC transporter
gene-PA14_01690,2.7831085210034257,3.418066875071231,-0.29648336257580354,0.5813959019582405,cds-ABJ15094.1,PA14_01690,putative permease of ABC transporter
gene-PA14_01710,1393.271435555607,2060.624464895716,-0.5646052573910803,1.0242493112853794,cds-ABJ15095.1,ahpC,alkyl hydroperoxide reductase subunit C
gene-PA14_01720,96.01187442936337,153.02650142147652,-0.6724967678945151,2.230967222087602,cds-ABJ15096.1,ahpF,alkyl hydroperoxide reductase subunit F
gene-PA14_01730,428.7226592305298,1313.499988310414,-1.6152996104695767,2.996556401675999,cds-ABJ15097.1,PA14_01730,conserved hypothetical protein
gene-PA14_01750,36.64238514382469,46.45184098707407,-0.34222235140975116,0.7526905786291882,cds-ABJ15098.1,PA14_01750,putative hydrolase
gene-PA14_01760,587.1045726002131,648.5345581274578,-0.1435659594364089,0.46132236140974514,cds-ABJ15099.1,nuh,nonspecific ribonucleoside hydrolase
gene-PA14_01770,14.592308088627277,14.561729165530451,0.0030264126683555333,0.008252439689517815,cds-ABJ15100.1,PA14_01770,putative nucleoside-binding outer membrane protein
gene-PA14_01780,53.41392170393351,70.45427076493313,-0.3994713430013407,1.1055557011731032,cds-ABJ15101.1,PA14_01780,putative nucleoside 2-deoxyribosyltransferase
gene-PA14_01790,23.248985494943412,33.365319508341535,-0.5211815369305892,2.0920832950686,cds-ABJ15102.1,PA14_01790,putative nucleoside 2-deoxyribosyltransferase
gene-PA14_01800,2.3184169659023106,3.610245485568466,-0.6389566576711811,1.025733342474095,cds-ABJ15103.1,PA14_01800,putative basic membrane protein (bmp)
gene-PA14_01810,19.074464793945026,29.54063800144812,-0.6310583805803335,2.402380665569966,cds-ABJ15104.1,PA14_01810,putative dioxygenase
gene-PA14_01830,73.9223802777687,67.7820365450044,0.12510822609333166,0.6350992625049838,cds-ABJ15105.1,add,putative adenosine deaminase
gene-PA14_01840,4.926817581175322,4.512530467364363,0.12671935609158463,0.18845207985921816,cds-ABJ15106.1,PA14_01840,putative sigma-70 factor%2C ECF subfamily
gene-PA14_01860,8.437182659768103,8.548278851566959,-0.018872633105326254,0.023320807331084367,cds-ABJ15107.1,PA14_01860,putative transmembrane sensor
gene-PA14_01870,12.60326401748506,9.071013253775837,0.4744617518485334,0.6743482271338425,cds-ABJ15108.1,PA14_01870,putative TonB-dependent receptor
gene-PA14_01890,18.369158151879642,17.829729806311803,0.04300066730688572,0.1294141753689352,cds-ABJ15109.1,pcaQ,transcriptional regulator PcaQ
gene-PA14_01900,12.718416385185003,12.307237570492667,0.047412065903674055,0.06321812862037209,cds-ABJ15110.1,pcaH,protocatechuate 3%2C4-dioxygenase%2C beta subunit
gene-PA14_01910,9.26067614643982,10.839406394570853,-0.22709629135741363,0.5493054051862074,cds-ABJ15111.1,pcaG,protocatechuate 3%2C4-dioxygenase%2C alpha subunit
gene-PA14_01930,34.9242142700634,38.40609915582601,-0.13710777734256285,0.31210310676239766,cds-ABJ15112.1,pcaR,transcriptional regulator PcaR
gene-PA14_01940,178.86623900192708,126.83261852245327,0.4959552789000483,2.7253595984900594,cds-ABJ15113.1,PA14_01940,putative RND efflux membrane fusion protein precursor
gene-PA14_01960,132.19991486950494,115.85067616958607,0.19045478166315669,1.1826776640688141,cds-ABJ15114.1,PA14_01960,putative RND efflux membrane fusion protein precursor
gene-PA14_01970,564.1418681043289,368.411434345832,0.6147401710743289,3.9511150070123433,cds-ABJ15115.1,PA14_01970,putative RND efflux transporter
gene-PA14_01980,83.74291367451976,70.25021121832192,0.2534645484064871,2.3489193445421583,cds-ABJ15116.1,PA14_01980,putative transcriptional regulator%2C LysR family
gene-PA14_01990,5.826486999863728,13.270229693623486,-1.1874950051249635,1.2110450964548203,cds-ABJ15117.1,PA14_01990,hypothetical protein
gene-PA14_02010,2.1417007621623236,8.258840076231175,-1.9471817513354974,1.1895329016973755,cds-ABJ15118.1,PA14_02010,hypothetical protein
gene-PA14_02020,46.322344642579196,67.78446113851162,-0.549246300617693,2.007512923503187,cds-ABJ15119.1,PA14_02020,putative outer membrane porin
gene-PA14_02030,23.13761043758841,25.130495156721384,-0.11919921634380252,0.5151403991960279,cds-ABJ15120.1,PA14_02030,putative transcriptional regulator%2C AraC family
gene-PA14_02050,42.096179435169404,61.7344514851705,-0.5523865094061371,3.1511781187034007,cds-ABJ15121.1,PA14_02050,putative gamma-glutamyltranspeptidase
gene-PA14_02060,8.803783089317383,5.991237020739322,0.5552696131964575,1.9194503432821384,cds-ABJ15122.1,PA14_02060,putative outer membrane protein
gene-PA14_02070,0.44170181244236023,0.7782890588315164,-0.8172319021773166,0.38453675058303327,cds-ABJ15123.1,PA14_02070,putative xanthine/uracil permease
gene-PA14_02090,100.96063946706015,91.39702704339335,0.14357380846790996,0.5001519577611229,cds-ABJ15124.1,PA14_02090,putative transcriptional regulator%2C TetR family
gene-PA14_02100,62.50486727197029,61.153313536576604,0.031537864726078446,0.07243251843703373,cds-ABJ15125.1,PA14_02100,conserved hypothetical protein
gene-PA14_02110,39.00441051662637,40.531008936967936,-0.05538881800896915,0.1866571677871066,cds-ABJ15126.1,PA14_02110,putative GGDEF domain
gene-PA14_02130,15.002211001362113,17.027645466901276,-0.182703807208287,0.6672591383168257,cds-ABJ15127.1,PA14_02130,hypothetical protein
gene-PA14_02140,17.17437971819053,17.891665399085912,-0.0590296851528401,0.1599331515470275,cds-ABJ15128.1,PA14_02140,conserved hypothetical protein
gene-PA14_02150,33.22369416083388,33.4933966322981,-0.011664193424983342,0.03026026296615359,cds-ABJ15129.1,PA14_02150,putative serine phosphatase
gene-PA14_02180,12.115203261920707,19.72898111273047,-0.7034977952191941,1.4595442076842222,cds-ABJ15130.1,cheB,glutamate methylesterase
gene-PA14_02190,7.768409684505663,12.254821307417147,-0.657658187775707,2.247550487666231,cds-ABJ15131.1,cheD,putative chemotaxis protein
gene-PA14_02200,48.13420140483951,61.88684162441648,-0.36257033486460266,1.1833573704247682,cds-ABJ15132.1,cheR,putative chemotaxis protein methyltransferase
gene-PA14_02220,338.83083531264805,495.1219518772461,-0.5472187399710977,1.653005105978793,cds-ABJ15133.1,PA14_02220,putative chemotaxis transducer
gene-PA14_02230,28.361402072533863,42.49143246574711,-0.5832431080752669,1.5864100909562882,cds-ABJ15134.1,cheW,putative purine-binding chemotaxis protein
gene-PA14_02250,121.91513399515384,185.9989824256717,-0.6094174977362408,2.5844283417088376,cds-ABJ15135.1,cheA,putative two-component sensor
gene-PA14_02260,93.9164895613539,166.70239247894023,-0.8278244139084842,2.4331592894794642,cds-ABJ15136.1,cheY,putative two-component response regulator
gene-PA14_02270,151.07513362062093,222.702166234869,-0.5598493702174021,1.848025994718688,cds-ABJ15137.1,PA14_02270,putative chemotaxis transducer
