,bphP_light_mean_rpm,wt_dark_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00170,125.73135072768999,114.51637081148318,0.13479056998595026,0.21683699436698795,cds-ABJ14972.1,trkA,potassium uptake protein TrkA
gene-PA14_00180,92.75466606103562,95.8639348666839,-0.047568299143977526,0.07183411423834049,cds-ABJ14973.1,sun,putative tRNA and rRNA cytosine-C5-methylases
gene-PA14_00190,82.67744137615854,87.93140767495,-0.08888482139573455,0.1538252968712166,cds-ABJ14974.1,fmt,methionyl-tRNA formyltransferase
gene-PA14_00200,88.03530262178474,93.28295252624109,-0.08353128338336435,0.25429521529550353,cds-ABJ14975.1,def,polypeptide deformylase
gene-PA14_00210,245.5688621400653,200.62210813103127,0.29164704220018633,3.078364661831582,cds-ABJ14976.1,PA14_00210,putative lysin domain
gene-PA14_00230,3.2275929285424,4.397772882202277,-0.4463143460752253,2.102228164520224,cds-ABJ14977.1,smf,putative Rossmann fold nucleotide-binding protein
gene-PA14_00240,73.99455246657519,72.14927198194972,0.03643422451915072,0.08673632822844916,cds-ABJ14978.1,PA14_00240,putative translation factor
gene-PA14_00250,113.506056507753,122.45329817944894,-0.10946235175402334,0.8813944991034047,cds-ABJ14979.1,qor,quinone oxidoreductase
gene-PA14_00280,154.392024934726,181.04489627602015,-0.22974927325495373,0.8644185983553511,cds-ABJ14980.1,hemF,coproporphyrinogen III oxidase%2C aerobic
gene-PA14_00290,59.246165976027726,78.21288438297903,-0.4006844879764599,1.1080561753221614,cds-ABJ14981.1,aroE,shikimate dehydrogenase
gene-PA14_00300,451.87752339325533,584.3286883923056,-0.37084832287697245,0.9041294598524106,cds-ABJ14982.1,plcB,phospholipase C%2C PlcB
gene-PA14_00310,265.9998937861751,298.9046387577253,-0.16825961638851408,0.7334011332463778,cds-ABJ14983.1,PA14_00310,putative peptidyl-prolyl isomerase
gene-PA14_00320,77.82008549293944,85.32436430774395,-0.1328151939574645,0.6601024624385716,cds-ABJ14984.1,PA14_00320,conserved hypothetical protein
gene-PA14_00340,2.7720026000098703,5.811091169940401,-1.0678802046476852,1.1531101208725856,cds-ABJ14985.1,PA14_00340,putative sulfate permease
gene-PA14_00360,3.9216764453247692,7.937690738379335,-1.0172486549822342,1.9050030798208273,cds-ABJ14986.1,PA14_00360,putative glycine betaine/L-proline ABC transporter%2C periplasmic substrate-binding protein
gene-PA14_00380,8.460994537383966,17.61701582831002,-1.0580703173106603,1.929440082623776,cds-ABJ14987.1,betC,choline sulfatase
gene-PA14_00400,27.546447195236514,28.016033489285135,-0.024386453432840856,0.09409967924364278,cds-ABJ14988.1,PA14_00400,putative transcriptional regulator%2C LysR family
gene-PA14_00410,35.080727583376095,38.1680907028742,-0.12168834655849421,0.2857928464588047,cds-ABJ14989.1,PA14_00410,putative dioxygenase
gene-PA14_00420,2.505640244884371,2.989673105753163,-0.25480836323817163,0.40524195285802955,cds-ABJ14990.1,PA14_00420,putative histidine phosphotransfer domain
gene-PA14_00430,5.110533416597188,5.107829690464276,0.0007634591892533609,0.001009493935386021,cds-ABJ14991.1,bvga,putative two-component response regulator
gene-PA14_00440,46.965800234114035,52.01928690984689,-0.1474360286871973,0.7550229954705404,cds-ABJ14992.1,trpA,tryptophan synthase alpha chain
gene-PA14_00450,68.66401437249301,69.24430859366251,-0.012141290764626464,0.028779052141513117,cds-ABJ14993.1,trpB,tryptophan synthase beta chain
gene-PA14_00460,14.896231720961124,12.468423487210048,0.2566683395815601,0.4485215803242859,cds-ABJ14994.1,trpI,trpBA operon transcriptional activator
gene-PA14_00470,67.87259545849844,147.7246618931758,-1.122009597192832,2.058860979846536,cds-ABJ14995.1,PA14_00470,conserved hypothetical protein
gene-PA14_00480,262.79525924379396,341.9367059192955,-0.37979004889554885,0.41085502358304404,cds-ABJ14996.1,PA14_00480,conserved hypothetical protein
gene-PA14_00490,36.85070465474109,37.91019963781629,-0.04089384613740224,0.06114190596873493,cds-ABJ14997.1,PA14_00490,putative hemolysin activation/secretion protein
gene-PA14_00510,71.92494934204434,72.33541683353904,-0.00820989187729603,0.017072659046693896,cds-ABJ14998.1,PA14_00510,putative hemagglutinin
gene-PA14_00520,3.4610663284283505,3.3014954572329014,0.0680969086889106,0.20262711177672796,cds-ABJ14999.1,PA14_00520,conserved hypothetical protein
gene-PA14_00530,20.129042734951202,15.886640573252707,0.341464464012026,0.33534745635420443,cds-ABJ15000.1,PA14_00530,hypothetical protein
gene-PA14_00550,50.76383750324705,59.36842894427173,-0.22589479755089145,0.8797215406172035,cds-ABJ15001.1,PA14_00550,putative membrane protein
gene-PA14_00560,23.645061779014743,23.534086939566247,0.006787029581084755,0.017690179324345013,cds-ABJ15002.1,exoT,exoenzyme T
gene-PA14_00570,105.14660774698984,63.58940458114557,0.7255439920443243,1.1721659741127117,cds-ABJ15003.1,PA14_00570,putative lipoprotein
gene-PA14_00580,61.688985153360534,35.40574458473289,0.8010294385106614,2.0052068684036897,cds-ABJ15004.1,PA14_00580,putative lipoprotein
gene-PA14_00590,37.7637851485596,29.172967246266484,0.3723712318079342,0.4046868521732636,cds-ABJ15005.1,PA14_00590,putative lipoprotein
gene-PA14_00600,10.891737822099756,10.865181131311049,0.0035219344860853465,0.005445829247749833,cds-ABJ15006.1,PA14_00600,putative transcriptional regulator
gene-PA14_00620,165.44164300568468,208.30450759421092,-0.3323716387501945,0.42161756633641484,cds-ABJ15007.1,PA14_00620,conserved hypothetical protein
gene-PA14_00630,348.4415530055516,405.6272943313088,-0.21923805162721174,0.1984447930075615,cds-ABJ15008.1,PA14_00630,hypothetical protein
gene-PA14_00640,445.19861578690546,502.74079077952666,-0.17536564201519173,0.21484572867532467,cds-ABJ15009.1,phzH,potential phenazine-modifying enzyme
gene-PA14_00650,32.64443704089054,78.84083180836386,-1.2721058093776572,1.9066660755192224,cds-ABJ15010.1,PA14_00650,conserved hypothetical protein
gene-PA14_00660,47.84894143712538,47.52967307188902,0.009658529855156374,0.030225064533465462,cds-ABJ15011.1,PA14_00660,putative RNA 2'-phosphotransferase
gene-PA14_00670,121.98972147843976,138.83468103256266,-0.18660840270080692,0.4355318867925262,cds-ABJ15012.1,PA14_00670,conserved hypothetical protein
gene-PA14_00680,9.09014570522559,11.316144084553928,-0.3160070953218613,1.8979740292127916,cds-ABJ15013.1,PA14_00680,putative transcriptional regulator%2C LysR family
gene-PA14_00690,43.498238392249824,39.49041941193835,0.13945428179337155,0.7668923092712151,cds-ABJ15014.1,PA14_00690,putative metallo-beta-lactamase
gene-PA14_00700,11.41616940068394,16.088824032749113,-0.49498019550203776,1.0812501291888865,cds-ABJ15015.1,PA14_00700,putative protein-disulfide isomerase
gene-PA14_00710,11.889386106220158,105.39295108319747,-3.1480321408459724,3.390267777485543,cds-ABJ15016.1,osmC,osmotically inducible protein OsmC
gene-PA14_00720,41.03305189477175,73.39926887086823,-0.8389792160436781,1.4230406426821847,cds-ABJ15017.1,PA14_00720,conserved hypothetical protein
gene-PA14_00730,16.17051384251613,26.017779072931898,-0.686132258784596,1.826919455976304,cds-ABJ15018.1,PA14_00730,conserved hypothetical protein
gene-PA14_00740,7.2088118963051615,13.755290245526838,-0.9321530762071626,1.625177429113708,cds-ABJ15019.1,PA14_00740,putative lipoprotein
gene-PA14_00750,51.98837918677245,53.2521947350154,-0.03465180730188952,0.04539726522337472,cds-ABJ15020.1,PA14_00750,putative aminopeptidase
gene-PA14_00760,55.32211788686178,51.9094061115004,0.09186040411438638,0.20177450852373424,cds-ABJ15021.1,PA14_00760,hypothetical protein
gene-PA14_00770,24.38588928060508,25.962912232370773,-0.0904056302566212,0.1075122285565102,cds-ABJ15022.1,PA14_00770,putative phosphatase
gene-PA14_00780,40.86763691944498,32.32137731017327,0.3384701387995431,1.1979873245899149,cds-ABJ15023.1,PA14_00780,putative carbonic anhydrases
gene-PA14_00790,509.90066344615644,548.6059441279158,-0.10555403852580576,0.29743081956098005,cds-ABJ15024.1,prlC,oligopeptidase A
gene-PA14_00800,74.01798506897958,77.45744342706769,-0.06552802058825842,0.2582527635837736,cds-ABJ15025.1,PA14_00800,putative nucleic-acid-binding protein
gene-PA14_00810,16.34412499595332,18.740596675478923,-0.19739473323348894,0.2828287137587106,cds-ABJ15026.1,PA14_00810,putative DNA repair photolyase
gene-PA14_00820,210.49631270160293,196.5643120206454,0.09879354961608483,0.13941016553391616,cds-ABJ15027.1,PA14_00820,conserved hypothetical protein
gene-PA14_00830,56.84820693561803,53.01555990919394,0.10069899503175497,0.17508519051094817,cds-ABJ15028.1,PA14_00830,conserved hypothetical protein
gene-PA14_00850,9.04202421739639,9.956482783060752,-0.13899039091157497,0.11814286887710569,cds-ABJ15029.1,PA14_00850,putative permease
gene-PA14_00860,8.037736420384526,8.509531235515675,-0.08229038214411451,0.08462000428718082,cds-ABJ15030.1,PA14_00860,putative ATP-binding component of ABC transporter
gene-PA14_00875,64.02551331124916,63.04924807078023,0.02216774903962026,0.03353127106983473,cds-ABJ15671.1,ppkA,serine/threonine protein kinase PpkA
gene-PA14_00890,16.06086430460227,12.231871773773781,0.39290431613409976,0.64770847321963,cds-ABJ15031.1,PA14_00890,putative serine/threonine phosphoprotein phosphatase
gene-PA14_00900,15.96602006723787,15.761253622186116,0.018622439530885257,0.020756260331734534,cds-ABJ15032.1,PA14_00900,conserved hypothetical protein
gene-PA14_00910,63.17941805299267,61.75102004617321,0.03299167958738665,0.040600309690159014,cds-ABJ15033.1,PA14_00910,conserved hypothetical protein
gene-PA14_00925,30.623575461332376,30.977352760711266,-0.016571125303651887,0.01889975737584143,cds-ABJ15641.1,PA14_00925,hypothetical protein
gene-PA14_00940,32.44938233803445,35.01183808266353,-0.10965178304904606,0.13014544288029228,cds-ABJ15034.1,PA14_00940,conserved hypothetical protein
gene-PA14_00960,11.64430049408081,11.215683076469972,0.05410648208395303,0.06949208230879704,cds-ABJ15035.1,PA14_00960,putative lipoprotein
gene-PA14_00970,16.59688402294991,13.950787284678242,0.2505658521015292,0.519959271772654,cds-ABJ15036.1,PA14_00970,conserved hypothetical protein
gene-PA14_00980,42.16771973885667,57.67694740474271,-0.45185579306970036,1.0110530436217762,cds-ABJ15037.1,PA14_00980,conserved hypothetical protein
gene-PA14_00990,18.1548947081366,18.703264083049895,-0.04293150501223892,0.03250566394668873,cds-ABJ15038.1,PA14_00990,conserved hypothetical protein
gene-PA14_01010,79.50516150894062,57.648831277631984,0.46375715666404704,1.6647522783011794,cds-ABJ15039.1,PA14_01010,conserved hypothetical protein
gene-PA14_01020,157.4190851922174,135.4689556468215,0.2166481811735508,0.3551276751708057,cds-ABJ15040.1,PA14_01020,conserved hypothetical protein
gene-PA14_01030,122.33812909930639,79.60523582167068,0.6199388836300996,1.5380268948205522,cds-ABJ15041.1,PA14_01030,conserved hypothetical protein
gene-PA14_01040,25.75102701918586,22.193132358463426,0.21451665773664913,0.17149290326509878,cds-ABJ15042.1,PA14_01040,putative secretion protein
gene-PA14_01060,7.721704874926817,6.3866646397988305,0.27385667855585455,0.195435476880182,cds-ABJ15043.1,PA14_01060,conserved hypothetical protein
gene-PA14_01070,28.756672725887057,23.558033489480252,0.2876776330997608,0.315347207631126,cds-ABJ15044.1,PA14_01070,conserved hypothetical protein
gene-PA14_01080,9.753912822315753,10.402232532660173,-0.09284020114714042,0.08366735044047134,cds-ABJ15045.1,PA14_01080,conserved hypothetical protein
gene-PA14_01100,116.04900350792711,93.91217725823714,0.3053499873626142,0.6239783671948328,cds-ABJ15046.1,clpB,putative ClpA/B-type chaperone
gene-PA14_01110,49.203271841647926,38.665006435452185,0.3477257916021234,0.6867365037488693,cds-ABJ15047.1,PA14_01110,hypothetical protein
gene-PA14_01120,9.60619590270179,10.208615685809052,-0.0877501020508215,0.19352229971616194,cds-ABJ15048.1,PA14_01120,hypothetical protein
gene-PA14_01130,20.13562591745555,20.759390520695973,-0.04401376649926746,0.0566472663359454,cds-ABJ15049.1,PA14_01130,hypothetical protein
gene-PA14_01140,17.23555153015167,11.181182241069607,0.6243146799990728,1.2859066383939983,cds-ABJ15050.1,PA14_01140,conserved hypothetical protein
gene-PA14_01150,20.248915764027554,16.108702949822582,0.330004307038413,2.0875301575688163,cds-ABJ15051.1,PA14_01150,hypothetical protein
gene-PA14_01160,75.00359814531694,84.42766775006844,-0.17075605151550907,0.9022959172084035,cds-ABJ15052.1,PA14_01160,conserved hypothetical protein
gene-PA14_01170,8.203301563768422,7.849119941452803,0.06367375144302675,0.12276432116769609,cds-ABJ15053.1,PA14_01170,conserved hypothetical protein
gene-PA14_01180,19.741097701799564,17.563438538091845,0.16862688308243357,0.25565551746766335,cds-ABJ15054.1,PA14_01180,conserved hypothetical protein
gene-PA14_01190,12.120503315354375,10.322399279509414,0.23167124693345145,0.3335514106953955,cds-ABJ15055.1,PA14_01190,Putative 3-oxoacyl-(acyl-carrier-protein) synthase
gene-PA14_01200,27.2961915835734,19.621984355560937,0.47622870930623157,2.5189325425616675,cds-ABJ15056.1,PA14_01200,hypothetical protein
gene-PA14_01220,38.4526586029689,30.42228401494415,0.3379548686872176,1.941793528399638,cds-ABJ15057.1,PA14_01220,hypothetical protein
gene-PA14_01230,22.888893186790494,22.77977350527527,0.006894298758443198,0.010762497117635666,cds-ABJ15058.1,PA14_01230,hypothetical protein
gene-PA14_01240,99.4845638660989,123.5249411746617,-0.3122577679110339,1.3872277236684676,cds-ABJ15059.1,PA14_01240,probable carbonic anhydrase
gene-PA14_01250,43.35679071033123,50.99452532154112,-0.23408439360504993,0.5699336389759025,cds-ABJ15060.1,ychM,putative sulfate transporter
gene-PA14_01270,9.012938484052642,7.326270906695727,0.298918457632369,0.3830917331018404,cds-ABJ15061.1,PA14_01270,conserved hypothetical protein
gene-PA14_01290,16.1021854277016,28.31427773680743,-0.8142731822877819,2.3094627046074945,cds-ABJ15062.1,coxB,cytochrome c oxidase%2C subunit II
gene-PA14_01300,6.592521230793821,9.447483941749503,-0.5190997825283022,2.560868004973663,cds-ABJ15063.1,coxA,cytochrome c oxidase%2C subunit I
gene-PA14_01310,1.6374262921569462,3.082176095160525,-0.9125189086584344,2.3649815371823637,cds-ABJ15064.1,coxG,putative cytochrome c oxidase assembly protein
gene-PA14_01320,4.6992771935056945,6.059644401586176,-0.3667941954249348,1.443996795125645,cds-ABJ15065.1,coIII,cytochrome c oxidase%2C subunit III
gene-PA14_01330,49.39189400566204,105.33122790890809,-1.0925870077182853,3.1803096851650987,cds-ABJ15066.1,PA14_01330,conserved hypothetical protein
gene-PA14_01340,3.944259057216558,5.262252305882877,-0.4159260195471393,1.1935510591120853,cds-ABJ15067.1,PA14_01340,conserved hypothetical protein
gene-PA14_01350,1.9566130366819412,2.6980171232136647,-0.463540841150132,2.5755565950538255,cds-ABJ15068.1,PA14_01350,conserved hypothetical protein
gene-PA14_01360,1.8478148841017434,2.0092361658484705,-0.12082685205857001,0.23978715215743393,cds-ABJ15069.1,ctaA,putative cytochrome oxidase assembly protein
gene-PA14_01380,5.415188610242602,6.353348460734531,-0.23050552133347876,0.19029416549908404,cds-ABJ15070.1,ctaB,putative cytochrome c oxidase assembly factor
gene-PA14_01390,261.03776817196564,232.57583720671758,0.16655733714802895,0.42463325682909836,cds-ABJ15071.1,PA14_01390,putative Sco1/SenC family protein
gene-PA14_01400,33.94925852505583,25.17618955881625,0.4313201042106948,3.1150245648932278,cds-ABJ15072.1,elaA,putative acyltransferase
gene-PA14_01410,43.25173914904702,40.43578360939592,0.09712557236452894,0.10898456645695134,cds-ABJ15073.1,PA14_01410,putative transcriptional regulator
gene-PA14_01430,8.509082711338065,6.935750855652631,0.2949515020932728,0.8000943918161942,cds-ABJ15074.1,PA14_01430,putative short chain dehydrogenase
gene-PA14_01440,14.09053200780675,13.30721045671114,0.08251790168254478,0.5621829030306649,cds-ABJ15075.1,PA14_01440,putative 2-hydroxychromene-2-carboxylate isomerase
gene-PA14_01460,15.182388734426338,18.40558288399267,-0.27774462592003,0.5341753636020213,cds-ABJ15076.1,dctA,putative dicarboxylate transporter
gene-PA14_01470,15.583091922077498,19.279993184752996,-0.3071230093216323,1.3495850599577115,cds-ABJ15077.1,PA14_01470,putative transcriptional regulator
gene-PA14_01480,13.903280751672945,17.251733355559093,-0.3113159473563212,0.9545131864295539,cds-ABJ15078.1,PA14_01480,putative transcriptional regulator
gene-PA14_01490,1700.4851854330336,1867.3619067285933,-0.13505512075665582,0.17634296244913256,cds-ABJ15079.1,PA14_01490,putative hemolysin
gene-PA14_01500,23.224114501901578,23.406002613467127,-0.011254974781700115,0.01600408064830932,cds-ABJ15080.1,PA14_01500,putative transcriptional regulator
gene-PA14_01510,6.6700904510778125,6.91984612562747,-0.05303362412789522,0.07660686047344524,cds-ABJ15081.1,PA14_01510,putative plasmid stabilisation system protein
gene-PA14_01520,5.187299587500339,5.685096316942051,-0.13220107339462508,0.24668469179553393,cds-ABJ15082.1,PA14_01520,putative transcriptional regulator
gene-PA14_01540,58.08210756884853,65.72399456838376,-0.17832636011267258,0.39417026720429105,cds-ABJ15083.1,PA14_01540,hypothetical protein
gene-PA14_01550,16.092377239337917,24.249877451119943,-0.591599962889506,3.145437243129947,cds-ABJ15084.1,PA14_01550,putative lipoprotein
gene-PA14_01560,63.371081159070435,38.11390804712304,0.7335070701472393,1.6998324736260628,cds-ABJ15085.1,phnA,putative alkylphosphonate uptake protein
gene-PA14_01580,243.33878877237802,111.85028617916173,1.1213973528902184,0.9802150835008925,cds-ABJ15086.1,gabP,gamma-aminobutyrate permease
gene-PA14_01600,603.4835404908657,304.9286330548657,0.9848427938750351,1.234877006367258,cds-ABJ15087.1,mmsA,putative aldehyde dehydrogenase
gene-PA14_01610,51.845072505276846,28.047263379858162,0.8863468427447664,0.6259610358598645,cds-ABJ15088.1,PA14_01610,conserved hypothetical protein
gene-PA14_01620,385.3971001779383,182.28325654342862,1.0801636622156454,0.8204054326255641,cds-ABJ15089.1,aptA,beta-alanine--pyruvate transaminase
gene-PA14_01640,17.50919140677559,18.433595504269423,-0.07422503428156334,0.26482130091860345,cds-ABJ15090.1,PA14_01640,putative transcriptional regulator%2C LysR family
gene-PA14_01660,17.25019299526613,38.07189562681353,-1.1421138556111197,3.3214994860525953,cds-ABJ15091.1,guaD,putative guanine deaminase
gene-PA14_01670,4.636080070065471,5.841609557786344,-0.3334603862880153,0.5503550846138803,cds-ABJ15092.1,PA14_01670,putative ATP-binding component of ABC transporter
gene-PA14_01680,0.6925626793929491,1.291135643200633,-0.8986230511360194,1.225209942411978,cds-ABJ15093.1,PA14_01680,putative permease of ABC transporter
gene-PA14_01690,2.4985486561171557,3.418066875071231,-0.45209015451771906,0.7303511236958428,cds-ABJ15094.1,PA14_01690,putative permease of ABC transporter
gene-PA14_01710,1695.5679862438872,2060.624464895716,-0.28131297464251087,0.46152519442189816,cds-ABJ15095.1,ahpC,alkyl hydroperoxide reductase subunit C
gene-PA14_01720,120.68051490169512,153.02650142147652,-0.34258876360455287,0.9533054664275428,cds-ABJ15096.1,ahpF,alkyl hydroperoxide reductase subunit F
gene-PA14_01730,786.7044695271555,1313.499988310414,-0.7395225017264908,1.6306601829432255,cds-ABJ15097.1,PA14_01730,conserved hypothetical protein
gene-PA14_01750,42.12689748042236,46.45184098707407,-0.14099410200940768,0.7160142075504607,cds-ABJ15098.1,PA14_01750,putative hydrolase
gene-PA14_01760,566.0917966928129,648.5345581274578,-0.1961474348116118,0.6836125713589161,cds-ABJ15099.1,nuh,nonspecific ribonucleoside hydrolase
gene-PA14_01770,16.454961248643542,14.561729165530451,0.1763409356537121,0.32635939861191887,cds-ABJ15100.1,PA14_01770,putative nucleoside-binding outer membrane protein
gene-PA14_01780,56.202584812952004,70.45427076493313,-0.3260506736354373,0.5600479964471251,cds-ABJ15101.1,PA14_01780,putative nucleoside 2-deoxyribosyltransferase
gene-PA14_01790,25.96670360701988,33.365319508341535,-0.361686426903037,0.8436414526986166,cds-ABJ15102.1,PA14_01790,putative nucleoside 2-deoxyribosyltransferase
gene-PA14_01800,2.8124267944463703,3.610245485568466,-0.36028128073732624,0.5692132449234345,cds-ABJ15103.1,PA14_01800,putative basic membrane protein (bmp)
gene-PA14_01810,19.63207033149426,29.54063800144812,-0.5894886375704861,2.194409047243918,cds-ABJ15104.1,PA14_01810,putative dioxygenase
gene-PA14_01830,75.560500263437,67.7820365450044,0.15672926724138236,0.2475138968492545,cds-ABJ15105.1,add,putative adenosine deaminase
gene-PA14_01840,3.9644563995012816,4.512530467364363,-0.18681356899039417,0.21561508954077227,cds-ABJ15106.1,PA14_01840,putative sigma-70 factor%2C ECF subfamily
gene-PA14_01860,9.630600785687154,8.548278851566959,0.17199181081122458,0.22347817861794284,cds-ABJ15107.1,PA14_01860,putative transmembrane sensor
gene-PA14_01870,11.69178175956131,9.071013253775837,0.3661591517450491,0.36235911495984063,cds-ABJ15108.1,PA14_01870,putative TonB-dependent receptor
gene-PA14_01890,17.0781072560628,17.829729806311803,-0.06213674494194679,0.13949072634008514,cds-ABJ15109.1,pcaQ,transcriptional regulator PcaQ
gene-PA14_01900,12.710760561488568,12.307237570492667,0.046543377281667644,0.062420679022010796,cds-ABJ15110.1,pcaH,protocatechuate 3%2C4-dioxygenase%2C beta subunit
gene-PA14_01910,9.416874673488204,10.839406394570853,-0.20296549691646598,0.2612419270106622,cds-ABJ15111.1,pcaG,protocatechuate 3%2C4-dioxygenase%2C alpha subunit
gene-PA14_01930,38.96310112513864,38.40609915582601,0.020773068317279937,0.03393782423405413,cds-ABJ15112.1,pcaR,transcriptional regulator PcaR
gene-PA14_01940,112.72176612501625,126.83261852245327,-0.17015969968227196,1.436284589985919,cds-ABJ15113.1,PA14_01940,putative RND efflux membrane fusion protein precursor
gene-PA14_01960,83.5252169704338,115.85067616958607,-0.47198272944100683,1.8217856867890274,cds-ABJ15114.1,PA14_01960,putative RND efflux membrane fusion protein precursor
gene-PA14_01970,362.60386069768884,368.411434345832,-0.022923553076597752,0.07842732947853796,cds-ABJ15115.1,PA14_01970,putative RND efflux transporter
gene-PA14_01980,59.41265308735527,70.25021121832192,-0.24173234536516625,1.1626243844838768,cds-ABJ15116.1,PA14_01980,putative transcriptional regulator%2C LysR family
gene-PA14_01990,6.238287502462817,13.270229693623486,-1.0889712706253136,1.140433726451759,cds-ABJ15117.1,PA14_01990,hypothetical protein
gene-PA14_02010,4.2042987862441885,8.258840076231175,-0.974073804393721,0.7432567128025006,cds-ABJ15118.1,PA14_02010,hypothetical protein
gene-PA14_02020,88.03514789842662,67.78446113851162,0.37712503874732756,0.8244701475519216,cds-ABJ15119.1,PA14_02020,putative outer membrane porin
gene-PA14_02030,23.200707369789722,25.130495156721384,-0.11527030015541204,0.27128636440236326,cds-ABJ15120.1,PA14_02030,putative transcriptional regulator%2C AraC family
gene-PA14_02050,41.98338829397275,61.7344514851705,-0.5562572075595903,1.9919754008883281,cds-ABJ15121.1,PA14_02050,putative gamma-glutamyltranspeptidase
gene-PA14_02060,9.643439817178205,5.991237020739322,0.6866938467018886,0.9003714012656303,cds-ABJ15122.1,PA14_02060,putative outer membrane protein
gene-PA14_02070,0.3891573660907272,0.7782890588315164,-0.9999505454415185,0.48938658432014037,cds-ABJ15123.1,PA14_02070,putative xanthine/uracil permease
gene-PA14_02090,109.12273658381753,91.39702704339335,0.25573258403706584,0.4425092098001704,cds-ABJ15124.1,PA14_02090,putative transcriptional regulator%2C TetR family
gene-PA14_02100,65.68055562138203,61.153313536576604,0.10303565795071948,0.4934120097544845,cds-ABJ15125.1,PA14_02100,conserved hypothetical protein
gene-PA14_02110,43.62488597244808,40.531008936967936,0.10612526905502093,0.363678840562575,cds-ABJ15126.1,PA14_02110,putative GGDEF domain
gene-PA14_02130,18.492905999568556,17.027645466901276,0.11909298564695128,0.16016892449080866,cds-ABJ15127.1,PA14_02130,hypothetical protein
gene-PA14_02140,23.04602904412531,17.891665399085912,0.3652304865831349,0.5662672426192977,cds-ABJ15128.1,PA14_02140,conserved hypothetical protein
gene-PA14_02150,40.67507099626285,33.4933966322981,0.28026816634575585,0.593497274360812,cds-ABJ15129.1,PA14_02150,putative serine phosphatase
gene-PA14_02180,14.231542829881802,19.72898111273047,-0.47122435101226406,1.3741489745795623,cds-ABJ15130.1,cheB,glutamate methylesterase
gene-PA14_02190,9.523576997768659,12.254821307417147,-0.36377396591209965,1.2530116136376515,cds-ABJ15131.1,cheD,putative chemotaxis protein
gene-PA14_02200,50.76281071662097,61.88684162441648,-0.2858607383530617,0.6648432097824699,cds-ABJ15132.1,cheR,putative chemotaxis protein methyltransferase
gene-PA14_02220,404.2102194240731,495.1219518772461,-0.2926781167822267,0.9642902513224335,cds-ABJ15133.1,PA14_02220,putative chemotaxis transducer
gene-PA14_02230,39.59395386278101,42.49143246574711,-0.10189183544873395,0.1745281686192805,cds-ABJ15134.1,cheW,putative purine-binding chemotaxis protein
gene-PA14_02250,146.46049201556892,185.9989824256717,-0.34478317895239036,1.9513664619881925,cds-ABJ15135.1,cheA,putative two-component sensor
gene-PA14_02260,125.02945598824635,166.70239247894023,-0.4150067839342336,1.1149230356196336,cds-ABJ15136.1,cheY,putative two-component response regulator
gene-PA14_02270,176.70938758963828,222.702166234869,-0.3337369053514821,1.5044827314915143,cds-ABJ15137.1,PA14_02270,putative chemotaxis transducer
